anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,62,Río Negro,35 a 39,30 a 39,Varón,18743
2005,2005,62,Río Negro,35 a 39,30 a 39,Mujer,19097
2005,2005,62,Río Negro,40 a 44,40 a 49,Varón,18192
2005,2005,62,Río Negro,40 a 44,40 a 49,Mujer,18699
2005,2005,62,Río Negro,45 a 49,40 a 49,Varón,16476
2005,2005,62,Río Negro,45 a 49,40 a 49,Mujer,17041
2005,2005,62,Río Negro,50 a 54,50 a 59,Varón,14937
2005,2005,62,Río Negro,50 a 54,50 a 59,Mujer,15101
2005,2005,62,Río Negro,55 a 59,50 a 59,Varón,12629
2005,2005,62,Río Negro,55 a 59,50 a 59,Mujer,12532
2005,2005,62,Río Negro,60 a 64,60 a 69,Varón,10199
2005,2005,62,Río Negro,60 a 64,60 a 69,Mujer,10185
2005,2005,62,Río Negro,65 a 69,60 a 69,Varón,8050
2005,2005,62,Río Negro,65 a 69,60 a 69,Mujer,8388
2005,2005,62,Río Negro,70 a 74,70 a 79,Varón,5798
2005,2005,62,Río Negro,70 a 74,70 a 79,Mujer,6750
2005,2005,62,Río Negro,75 a 79,70 a 79,Varón,4113
2005,2005,62,Río Negro,75 a 79,70 a 79,Mujer,5005
