anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,70,San Juan,Femenino,15 a 19,0
2005,70,San Juan,Femenino,20 a 24,0
2005,70,San Juan,Femenino,25 a 29,0
2005,70,San Juan,Femenino,30 a 34,0
2005,70,San Juan,Femenino,35 a 39,0
2005,70,San Juan,Femenino,40 a 44,1
2005,70,San Juan,Femenino,45 a 49,4
2005,70,San Juan,Femenino,50 a 54,5
2005,70,San Juan,Femenino,55 a 59,8
2005,70,San Juan,Femenino,60 a 64,18
2005,70,San Juan,Femenino,65 a 69,22
2005,70,San Juan,Femenino,70 a 74,30
2005,70,San Juan,Femenino,75 a 79,27
2005,70,San Juan,Femenino,80 y más,40
2005,74,San Luis,Masculino,10 a 14,0
2005,74,San Luis,Masculino,15 a 19,0
2005,74,San Luis,Masculino,20 a 24,0
2005,74,San Luis,Masculino,25 a 29,0
2005,74,San Luis,Masculino,30 a 34,0
2005,74,San Luis,Masculino,35 a 39,1
2005,74,San Luis,Masculino,40 a 44,1
2005,74,San Luis,Masculino,45 a 49,0
2005,74,San Luis,Masculino,50 a 54,3
2005,74,San Luis,Masculino,55 a 59,6
2005,74,San Luis,Masculino,60 a 64,9
2005,74,San Luis,Masculino,65 a 69,5
2005,74,San Luis,Masculino,70 a 74,10
2005,74,San Luis,Masculino,75 a 79,9
2005,74,San Luis,Masculino,80 y más,11
2005,74,San Luis,Femenino,10 a 14,0
2005,74,San Luis,Femenino,15 a 19,0
2005,74,San Luis,Femenino,20 a 24,0
2005,74,San Luis,Femenino,25 a 29,0
2005,74,San Luis,Femenino,30 a 34,0
2005,74,San Luis,Femenino,35 a 39,0
2005,74,San Luis,Femenino,40 a 44,0
2005,74,San Luis,Femenino,45 a 49,0
2005,74,San Luis,Femenino,50 a 54,1
2005,74,San Luis,Femenino,55 a 59,3
2005,74,San Luis,Femenino,60 a 64,5
2005,74,San Luis,Femenino,65 a 69,6
2005,74,San Luis,Femenino,70 a 74,3
2005,74,San Luis,Femenino,75 a 79,14
2005,74,San Luis,Femenino,80 y más,17
2005,78,Santa Cruz,Masculino,10 a 14,0
2005,78,Santa Cruz,Masculino,15 a 19,0
2005,78,Santa Cruz,Masculino,20 a 24,0
2005,78,Santa Cruz,Masculino,25 a 29,0
2005,78,Santa Cruz,Masculino,30 a 34,0
2005,78,Santa Cruz,Masculino,35 a 39,1
2005,78,Santa Cruz,Masculino,40 a 44,0
2005,78,Santa Cruz,Masculino,45 a 49,1
2005,78,Santa Cruz,Masculino,50 a 54,1
2005,78,Santa Cruz,Masculino,55 a 59,4
2005,78,Santa Cruz,Masculino,60 a 64,3
